"","CASE#","PRIMARY DESCRIPTION","ARREST","LATITUDE","LONGITUDE"
"101","JE216691","HOMICIDE","N",41.873760261,-87.699795456
"102","JD401972","HOMICIDE","N",41.895420644,-87.720539406
"103","JD397606","HOMICIDE","Y",41.721550479,-87.573404895
"104","JD402446","HOMICIDE","N",41.859844244,-87.716448371
"105","JD397606","HOMICIDE","Y",41.721550479,-87.573404895
"106","JD438266","HOMICIDE","N",41.751125394,-87.546827767
"107","JD437398","HOMICIDE","N",41.883299637,-87.768225952
"108","JD302712","HOMICIDE","Y",41.87749995,-87.760253841
"109","JD403563","HOMICIDE","N",41.88492126,-87.701315736
"110","JD324667","HOMICIDE","Y",41.919471104,-87.767036103
"111","JD401856","HOMICIDE","Y",41.938191875,-87.793745249
"112","JD305635","HOMICIDE","Y",41.671647143,-87.64657781
"113","JD403067","HOMICIDE","Y",41.888657457,-87.7492392
"114","JD439599","HOMICIDE","N",41.873627443,-87.735948562
"115","JD404202","HOMICIDE","N",41.765651252,-87.624909847
"116","JE217141","HOMICIDE","N",41.896216334,-87.719999212
"117","JD440104","HOMICIDE","N",41.880238942,-87.76527117
"118","JD440223","HOMICIDE","N",41.747522203,-87.578338939
"119","JD366417","HOMICIDE","Y",41.884957307,-87.725791743
"120","JE108028","HOMICIDE","Y",41.724494263,-87.643297231
"121","JE166179","HOMICIDE","Y",41.847384418,-87.693218135
"122","JE158218","HOMICIDE","N",41.743528216,-87.632767488
"123","JD404866","HOMICIDE","N",41.811234791,-87.668689739
"124","JD400875","HOMICIDE","Y",41.780725036,-87.661818721
"125","JD407328","HOMICIDE","N",41.75772549,-87.609028176
"126","JD407759","HOMICIDE","N",41.694954571,-87.62796366
"127","JD443247","HOMICIDE","N",41.886493289,-87.700242574
"128","JD375982","HOMICIDE","Y",41.707091837,-87.629160391
"129","JD383120","HOMICIDE","Y",41.886032227,-87.756497813
"130","JD442787","HOMICIDE","N",41.895420644,-87.720539406
"131","JD443510","HOMICIDE","N",41.877107832,-87.724063179
"132","JD442756","HOMICIDE","N",41.750366286,-87.66300375
"133","JD442829","HOMICIDE","Y",41.769491841,-87.689484191
"134","JD365408","HOMICIDE","Y",41.701863205,-87.542561687
"135","JD403004","HOMICIDE","Y",41.757097528,-87.642984742
"136","JD443741","HOMICIDE","N",41.844534868,-87.703460313
"137","JD410007","HOMICIDE","N",41.809916904,-87.629873094
"138","JD444077","HOMICIDE","N",41.731108662,-87.551281448
"139","JD409798","HOMICIDE","N",41.686544262,-87.61440711
"140","JD410064","HOMICIDE","N",41.897974664,-87.718836374
"141","JD333904","HOMICIDE","N",41.872682495,-87.714015459
"142","JE251565","HOMICIDE","N",41.750193697,-87.675879555
"143","JD445100","HOMICIDE","N",41.691665138,-87.671979744
"144","JD444540","HOMICIDE","N",41.843311381,-87.641533952
"145","JE142625","HOMICIDE","N",41.771105569,-87.61804966
"146","JD444610","HOMICIDE","N",41.880924861,-87.757527885
"147","JD444618","HOMICIDE","N",41.752212906,-87.611322009
"148","JE126034","HOMICIDE","N",41.879873468,-87.684870498
"149","JE168486","HOMICIDE","N",41.771889629,-87.613964461
"150","JD410805","HOMICIDE","Y",41.729393024,-87.660444906
"151","JD445340","HOMICIDE","N",41.871520566,-87.625930316
"152","JE235091","HOMICIDE","N",41.759311656,-87.615142204
"153","JD397489","HOMICIDE","Y",41.922355139,-87.658358835
"154","JD448026","HOMICIDE","N",41.865738518,-87.755413681
"155","JD448026","HOMICIDE","N",41.865738518,-87.755413681
"156","JE283507","HOMICIDE","Y",41.772986707,-87.698111943
"157","JD413085","HOMICIDE","N",41.811512827,-87.655221014
"158","JD448026","HOMICIDE","N",41.865738518,-87.755413681
"159","JD413727","HOMICIDE","Y",41.748404997,-87.626964756
"160","JD401865","HOMICIDE","Y",41.748629642,-87.601471454
"161","JE127233","HOMICIDE","N",41.76571128,-87.67418895
"162","JD448843","HOMICIDE","N",41.798127674,-87.703687573
"163","JD414137","HOMICIDE","N",41.761782474,-87.564815341
"164","JE125131","HOMICIDE","N",41.743157477,-87.636787562
"165","JD414100","HOMICIDE","N",41.753567171,-87.564572519
"166","JD374047","HOMICIDE","Y",41.998582381,-87.683813832
"167","JD414794","HOMICIDE","N",41.895444899,-87.71789096
"168","JE114110","HOMICIDE","Y",41.727087481,-87.587912472
"169","JD358038","HOMICIDE","Y",41.782763043,-87.650937196
"170","JD415988","HOMICIDE","N",41.682864732,-87.668767778
"171","JD414483","HOMICIDE","Y",41.95671059,-87.652882438
"172","JE168523","HOMICIDE","N",41.911531291,-87.767999047
"173","JD272406","HOMICIDE","Y",41.736700905,-87.667945593
"174","JE168486","HOMICIDE","N",41.771889629,-87.613964461
"175","JD415066","HOMICIDE","N",41.86641507,-87.705004143
"176","JE112825","HOMICIDE","N",41.909591067,-87.748805933
"177","JD417016","HOMICIDE","N",41.771683937,-87.571002493
"178","JD397541","HOMICIDE","N",41.79005429,-87.655982593
"179","JD450976","HOMICIDE","N",41.890842763,-87.675798158
"180","JD451631","HOMICIDE","N",41.888658818,-87.748967416
"181","JD451449","HOMICIDE","N",41.939638219,-87.754882886
"182","JE128575","HOMICIDE","N",41.764319754,-87.645601453
"183","JE201157","HOMICIDE","Y",41.691640675,-87.626381549
"184","JE201462","HOMICIDE","N",41.858965439,-87.715818083
"185","JD303275","HOMICIDE","N",41.745285231,-87.605067562
"186","JD452091","HOMICIDE","N",41.699769093,-87.631708344
"187","JD412097","HOMICIDE","Y",41.673478011,-87.621829238
"188","JD452203","HOMICIDE","N",41.711973932,-87.626023283
"189","JE218605","HOMICIDE","N",41.754400648,-87.550635931
"190","JE128482","HOMICIDE","N",41.80829274,-87.622811656
"191","JD438848","HOMICIDE","N",41.866229701,-87.720983457
"192","JE104195","HOMICIDE","N",41.768355144,-87.619711453
"193","JD453443","HOMICIDE","N",41.761152087,-87.634562414
"194","JE161082","HOMICIDE","N",41.786184976,-87.648598206
"195","JE185655","HOMICIDE","Y",41.883272556,-87.761645466
"196","JD454034","HOMICIDE","Y",41.745082823,-87.619606449
"197","JD416956","HOMICIDE","N",41.893682861,-87.710720066
"198","JD340832","HOMICIDE","Y",41.895357718,-87.759344937
"199","JD421353","HOMICIDE","Y",41.945911152,-87.722493226
"200","JD438133","HOMICIDE","Y",41.671544991,-87.633285016
"201","JE143335","HOMICIDE","N",41.757638586,-87.626357727
"202","JE104664","HOMICIDE","N",41.757720838,-87.64487292
"203","JE185249","HOMICIDE","N",41.887231852,-87.764276407
"204","JE297553","HOMICIDE","N",41.852726166,-87.683210411
"205","JE104664","HOMICIDE","N",41.757720838,-87.64487292
"206","JE105104","HOMICIDE","N",41.912476113,-87.706815747
"207","JE300330","HOMICIDE","N",41.766269578,-87.637171768
"208","JE108117","HOMICIDE","N",41.706351415,-87.642817426
"209","JE113828","HOMICIDE","N",41.731323576,-87.653207461
"210","JE113759","HOMICIDE","N",41.773396353,-87.649482106
"211","JE121729","HOMICIDE","Y",41.850057698,-87.697236236
"212","JE249894","HOMICIDE","N",41.728490137,-87.628849825
"213","JE162150","HOMICIDE","N",41.744209898,-87.58506148
"214","JE169446","HOMICIDE","N",41.895773967,-87.764130796
"215","JE118554","HOMICIDE","Y",41.803254369,-87.743035853
"216","JE130684","HOMICIDE","N",41.795042969,-87.663396549
"217","JE106050","HOMICIDE","N",41.778656405,-87.684846319
"218","JD462480","HOMICIDE","N",41.907682878,-87.75621478
"219","JD450372","HOMICIDE","Y",41.937997275,-87.70880433
"220","JD465657","HOMICIDE","Y",41.839313408,-87.643885291
"221","JE143284","HOMICIDE","Y",41.838026577,-87.647590804
"222","JE144350","HOMICIDE","Y",41.878458449,-87.745204753
"223","JE120147","HOMICIDE","Y",41.875817435,-87.725503785
"224","JE131727","HOMICIDE","N",41.784001741,-87.688649725
"225","JE106469","HOMICIDE","N",41.877136581,-87.721727562
"226","JE142769","HOMICIDE","N",41.742042705,-87.672939733
"227","JE185470","HOMICIDE","Y",41.783871363,-87.684988102
"228","JE140202","HOMICIDE","N",41.880399914,-87.753008553
"229","JB566543","HOMICIDE","N",41.75894258,-87.634505751
"230","JE163081","HOMICIDE","N",41.678038746,-87.621771684
"231","JE115878","HOMICIDE","N",41.894581495,-87.721164479
"232","JE115131","HOMICIDE","N",41.777558327,-87.615558249
"233","JE279823","HOMICIDE","N",41.735960272,-87.633359016
"234","JE115702","HOMICIDE","N",41.92385284,-87.774151816
"235","JE163081","HOMICIDE","N",41.678038746,-87.621771684
"236","JE162908","HOMICIDE","N",41.78855456,-87.623931704
"237","JE113489","HOMICIDE","N",41.757885272,-87.607820559
